Original ID,Name,Reference,DOI,Year,Journal,Kingdom,Genus,Species,State,Location,SMILES
FQNP1,Santin,J_Ethnopharmacol_2017_200:22-30,10.1016/j.jep.2017.02.023,2017,Journal_of_Ethnopharmacology,Plant,Tanacetum,Tanacetum_parthenium,Estado_de_Mexico,Zinacantepec,COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1
FQNP2,Santamarine,J_Ethnopharmacol_2017_200:22-30,10.1016/j.jep.2017.02.023,2017,Journal_of_Ethnopharmacology,Plant,Tanacetum,Tanacetum_parthenium,Estado_de_Mexico,Zinacantepec,C=C1C(=O)O[C@H]2[C@H]1CC[C@]1(C)[C@@H]2C(C)=CC[C@H]1O
FQNP7,Coriloxine,J_Agric_Food_Chem_2016_64_(21):4255-4263,10.1021/acs.jafc.6b01111,2016,Journal_of_Agricultural_and_Food_Chemistry,Fungus,Xylaria,Xylaria_feejeensis,Morelos,Quilamula,COC1=CC(=O)[C@@H]2O[C@]2(C)[C@H]1O
FQNP8,2-hydroxy-5-methoxy-3-methylcyclohexa-2_5-diene-1_4-dione,J_Agric_Food_Chem_2016_64_(21):4255-4263,10.1021/acs.jafc.6b01111,2016,Journal_of_Agricultural_and_Food_Chemistry,Fungus,Xylaria,Xylaria_feejeensis,Morelos,Quilamula,COC1=CC(=O)C(O)=C(C)C1=O
FQNP9,Fumiquinone_B,J_Agric_Food_Chem_2016_64_(21):4255-4263,10.1021/acs.jafc.6b01111,2016,Journal_of_Agricultural_and_Food_Chemistry,Fungus,Xylaria,Xylaria_feejeensis,Morelos,Quilamula,COC1=C(O)C(=O)C(O)=C(C)C1=O
FQNP10,(4R_5S_6R)-6-Chloro-4_5-dihydroxy-3-methoxy-5-methylcyclohex-2-enone,J_Agric_Food_Chem_2016_64_(21):4255-4263,10.1021/acs.jafc.6b01111,2016,Journal_of_Agricultural_and_Food_Chemistry,Fungus,Xylaria,Xylaria_feejeensis,Morelos,Quilamula,COC1=CC(=O)[C@H](Cl)[C@@](C)(O)[C@H]1O
FQNP11,2-hydroxy-3-methyl-5-(methylamino)cyclohexa-2_5-diene-1_4-dione,J_Agric_Food_Chem_2016_64_(21):4255-4263,10.1021/acs.jafc.6b01111,2016,Journal_of_Agricultural_and_Food_Chemistry,Fungus,Xylaria,Xylaria_feejeensis,Morelos,Quilamula,CNC1=CC(=O)C(O)=C(C)C1=O
FQNP12,(4R_5R_6R)-4_5-Dihydroxy-3-methoxy-5-methyl-6-(phenylamino)cyclohex-2-enone,bisabolane axinythiocyanate A,10.1021/acs.jafc.6b01111,2016,Journal_of_Agricultural_and_Food_Chemistry,Fungus,Xylaria,Xylaria_feejeensis,Morelos,Quilamula,COC1=CC(=O)[C@H](Nc2ccccc2)[C@@](C)(O)[C@H]1O
FQNP13,2-((4-Butylphenyl)amino)-5-methoxy-3-methylcyclohexa-2_5-diene-1_4-dione,J_Agric_Food_Chem_2016_64_(21):4255-4263,10.1021/acs.jafc.6b01111,2016,Journal_of_Agricultural_and_Food_Chemistry,Fungus,Xylaria,Xylaria_feejeensis,Morelos,Quilamula,CCCCc1ccc(NC2=C(C)C(=O)C(OC)=CC2=O)cc1
FQNP14,6_6''_3'''-trihydroxy-7_3'_7''-O-trimethylloniflavone,J_Nat_Prod_2017_80_(5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal_of_Natural_Products,Plant,Salvia,Salvia_circinata,Puebla,Huauchinango,COc1cc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)ccc1Oc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)cc1OC
FQNP15,(2S_5S_8R_9R_10R)-2-(O-b-D-glucopyranosyl)-neocleroda-3-en-9-oxobutyl-18_19-olide,J_Nat_Prod_2017_80_(5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal_of_Natural_Products,Plant,Salvia,Salvia_circinata,Puebla,Huauchinango,CC(=O)CC[C@]1(C)C2C[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=C3C(=O)OC[C@]32CC[C@H]1C
FQNP16,(2S_5S_8R_9R_10R)-2-(O-b-D-glucopyranosyl)neocleroda-3_13-diene-14_15;18_19-diolide,J_Nat_Prod_2017_80_(5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal_of_Natural_Products,Plant,Salvia,Salvia_circinata,Puebla,Huauchinango,C[C@@H]1CC[C@@]23COC(=O)C2=C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC3[C@@]1(C)CCC1=CCOC1=O
FQNP17,(2S_5S_8R_9R_10R)-2-(O-b-D-glucopyranosyl)neocleroda-14-methoxy-3_13-diene-15_14;18_19-diolide,J_Nat_Prod_2017_80_(5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal_of_Natural_Products,Plant,Salvia,Salvia_circinata,Puebla,Huauchinango,COC1OC(=O)C=C1CC[C@]1(C)C2C[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=C3C(=O)OC[C@]32CC[C@H]1C
FQNP18,(2S_5S_8R_9R_10R_15S)-2-(O-b-D-glucopyranosyl)neocleroda-15-methoxy-3_13-diene-14_15;18_19-diolide,J_Nat_Prod_2017_80_(5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal_of_Natural_Products,Plant,Salvia,Salvia_circinata,Puebla,Huauchinango,CO[C@@H]1C=C(CC[C@]2(C)C3C[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C4C(=O)OC[C@]43CC[C@H]2C)C(=O)O1
FQNP19,Amarisolide,J_Nat_Prod_2017_80_(5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal_of_Natural_Products,Plant,Salvia,Salvia_circinata,Puebla,Huauchinango,C[C@@H]1CC[C@@]23COC(=O)C2=C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC3[C@@]1(C)CCc1ccoc1
FQNP20,Pedalitin,J_Nat_Prod_2017_80_(5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal_of_Natural_Products,Plant,Salvia,Salvia_circinata,Puebla,Huauchinango,COc1cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c(O)c1O
FQNP21,7-(b-D-Glucopyranosyloxy)-5-hydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one,J_Nat_Prod_2017_80_(5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal_of_Natural_Products,Plant,Salvia,Salvia_circinata,Puebla,Huauchinango,O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12
FQNP22,2-(3_4-dimethoxyphenyl)-5_6-dihydroxy-7-methoxy-4H-chromen-4-one,J_Nat_Prod_2017_80_(5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal_of_Natural_Products,Plant,Salvia,Salvia_circinata,Puebla,Huauchinango,COc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)cc1OC
FQNP23,3R_6Rdihydroxy-9_7(11)-dien-8-oxoeremophilane,J_Nat_Prod_2015_78_(2):339-342,10.1021/np5009224,2015,Journal_of_Natural_Products,Fungus,Penicillium,Penicillium_sp._G1-a14,Guerrero,Chontalcoatlan,CC(C)=C1C(=O)C=C2CC[C@@H](O)[C@H](C)[C@@]2(C)[C@H]1O
FQNP24,Isopetasol,J_Nat_Prod_2015_78_(2):339-342,10.1021/np5009224,2015,Journal_of_Natural_Products,Fungus,Penicillium,Penicillium_sp._G1-a14,Guerrero,Chontalcoatlan,CC(C)=C1C[C@@]2(C)C(=CC1=O)CC[C@@H](O)[C@@H]2C
FQNP25,Sporogen_AO-1,J_Nat_Prod_2015_78_(2):339-342,10.1021/np5009224,2015,Journal_of_Natural_Products,Fungus,Penicillium,Penicillium_sp._G1-a14,Guerrero,Chontalcoatlan,C=C(C)C12O[C@@H]1[C@@]1(C)C(=CC2=O)CC[C@@H](O)[C@@H]1C
FQNP26,Dihydrosporogen_AO-1,J_Nat_Prod_2015_78_(2):339-342,10.1021/np5009224,2015,Journal_of_Natural_Products,Fungus,Penicillium,Penicillium_sp._G1-a14,Guerrero,Chontalcoatlan,C=C(C)[C@@]12O[C@@H]1[C@@]1(C)C(=C[C@@H]2O)CC[C@@H](O)[C@@H]1C
